t,ch1,ch1_marked,ch1_ai_marked
168.34,0.66204,0.0,0.787529706954956
168.341,0.6646,0.0,0.8430674076080322
168.342,0.67738,0.0,0.6943868398666382
168.343,0.6646,0.0,0.7882696390151978
168.344,0.6646,0.0,0.1873030662536621
168.345,0.67738,0.0,0.0426768697798252
168.346,0.68249,0.0,0.0149848200380802
168.347,0.67994,0.0,0.2777882516384125
168.348,0.65438,0.0,0.0739805102348327
168.349,0.67738,0.0,0.1599735766649246
168.35,0.65693,0.0,0.2222053408622741
168.351,0.65438,0.0,0.1085643321275711
168.352,0.67738,0.0,0.5878610014915466
168.353,0.67738,0.0,0.4182721078395843
168.354,0.67227,0.0,0.0251527018845081
168.355,0.65693,0.0,0.0469035767018795
168.356,0.65182,0.0,0.1257321983575821
168.357,0.64926,0.0,0.3399943709373474
168.358,0.67227,0.0,0.5556169152259827
168.359,0.66716,0.0,0.0655025839805603
168.36,0.65693,0.0,0.0320408903062343
168.361,0.65438,0.0,0.0227016564458608
168.362,0.65438,0.0,0.0057663838379085
168.363,0.65438,0.0,0.0266620256006717
168.364,0.66204,0.0,0.0621432773768901
168.365,0.64415,0.0,0.1301900893449783
168.366,0.65182,0.0,0.0260161869227886
168.367,0.64159,0.0,0.0092491209506988
168.368,0.63393,0.0,0.0153217716142535
168.369,0.6007,0.0,0.0041175107471644
168.37,0.61603,0.0,0.0017137129325419
